NP010-PS-001	今見てたビデオを人の仕事をのうぎょうです。
NP010-PS-002	このビデオを見て、私はかんじたことを自分ですることと他の人のことをぬすまるのをよくないです。
NP010-PS-003	さいその事をのうぎょうの人がはしこからマンゴを木から取ってあつまっています。
NP010-PS-004	マンゴはのうぎょうしゃの人はじめにおちても、またあつまってありました。
NP010-PS-005	マンゴは他の人で見て、こちらだれもいないと思って、ぬすんだ。
NP010-PS-006	マンゴがぬすんだ人は自分の物じゃないから忙いでにげていいた。
NP010-PS-007	マンゴをぬすんだ人マンゴをぬすんたからとてもいそいてじてんしゃからいった。
NP010-PS-008	その時じてんしゃを石にぶつかってころんだ。
NP010-PS-009	ころんだ人に見て他の人で助けた。
NP010-PS-010	その人は自分の物が何がありますかそれも分からないで自分の所へ行った。
NP010-PS-011	のうぎょうしゃの人は自分の仕事にすうちゅうして仕事をしていて、自分の物もだれかとったしらなかった。
NP010-PS-012	あるいて来て子供を見てぜんぶその人で食べたと思った。
NP010-PS-013	私は何もする時目前だけじゃなくてぜんぶのところをきをつけるのたいせつと思っている。
